Estado,Nombre de Estado,Numero de Caso,Peatones,Personas _no_vehiculos,Vehiculos automotores,Vehiculos estacionados,Condado,Nombre Condado,Ciudad,Nombre Ciudad,Mes,Nombre Mes,Dia,Año,Hora,Minuto,Calle,Ruta,Nombre Ruta,Rural o Urbanoo,Sistema Funcional,Dueño Calle,Sistema Nacional Carreteras,Jurisdiccion Especial,Milla,Latitud,Longitud,Causa del Accidente,Tipo de Accidente,Tipo Interseccion,Columna1,Lugar en la calle,Zona de Trabajo,Luz,Clima,Autobus Escolar,Cruce de Trenes,Hora Notificacion,Minuto Notificacion,Hora Llegada,Minuto Llegada,Decesos,Fecha,PersonaVehiculo
1,Alabama,10022,0,0,1,0,117,SHELBY (117),2120,MONTEVALLO,1,Enero,11,2022,15,0,CR-SALEM RD,4,Calle del Condado,Urbano,Colector Mayor,City or Municipal Highway Agency,0,Sin jurisdiccion especial,0,33.11705833,-86.86126389,Volcadura,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Dia total,Nublado,No,NO APLICA,15,0,15,11,1,11/01/2022,1
1,Alabama,10023,0,0,2,0,45,DALE (45),845,DALEVILLE,1,Enero,13,2022,19,30,US-84 SR-12,2,US Highway,Urbano,Arteria Principal,State Highway Agency,1,Sin jurisdiccion especial,1880,31.30541111,-85.73678333,Vehiculo en movimiento,Angulo,Four-Way Intersection,Interseccion de 4 direcciones,Sobre calle,Ninguna,Atardecer,Despejado,No,NO APLICA,19,34,19,42,1,13/01/2022,2
1,Alabama,10024,0,0,3,0,73,JEFFERSON (73),0,NO APLICA,1,Enero,15,2022,20,29,SR-HWY 79,3,Highway estatal,Urbano,Arteria Principal,State Highway Agency,1,Sin jurisdiccion especial,0,33.64117778,-86.72513056,Vehiculo en movimiento,Frente a Detrás,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Oscuro sin iluminacion,lluvia,No,NO APLICA,20,30,20,36,1,15/01/2022,4
1,Alabama,10025,1,1,1,0,73,JEFFERSON (73),350,BIRMINGHAM,1,Enero,15,2022,23,9,TARRANT HUFFMAN RD,6,Calle Local Municipalidad,Urbano,Arteria Menor,City or Municipal Highway Agency,0,Sin jurisdiccion especial,0,33.59028333,-86.74036667,Peaton,El primer evento no fue una colision con un vehiculo automotor en transporte,Four-Way Intersection,Interseccion de 4 direcciones,Sobre calle,Ninguna,Oscuro con iluminacion,lluvia,No,NO APLICA,23,10,23,18,1,15/01/2022,1
1,Alabama,10026,1,1,2,0,73,JEFFERSON (73),0,NO APLICA,1,Enero,16,2022,23,0,I-22,1,Interestatal,Urbano,Interestatal,State Highway Agency,1,Sin jurisdiccion especial,806,33.665125,-87.04926389,Peaton,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Oscuro sin iluminacion,Nublado,No,NO APLICA,23,0,23,21,1,16/01/2022,2
1,Alabama,10027,0,0,1,0,71,JACKSON (71),2850,STEVENSON,3,Marzo,6,2022,14,58,SR-117 KENTUCKY AVE,3,Highway estatal,Urbano,Colector Mayor,State Highway Agency,0,Sin jurisdiccion especial,384,34.86851389,-85.83848333,Vehiculo Ferrocarril,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Dia total,Despejado,No,349959Y,99,99,15,22,1,06/03/2022,1
1,Alabama,10028,1,1,1,0,101,MONTGOMERY (101),2130,MONTGOMERY,1,Enero,17,2022,23,45,ATLANTA HWY,6,Calle Local Municipalidad,Urbano,Arteria Principal,City or Municipal Highway Agency,0,Sin jurisdiccion especial,0,32.38228056,-86.18490278,Peaton,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Oscuro con iluminacion,Despejado,No,NO APLICA,23,45,23,51,1,17/01/2022,1
1,Alabama,10029,0,0,2,0,89,MADISON (89),1730,HUNTSVILLE,1,Enero,17,2022,8,9,WALL TRIANA HWY,6,Calle Local Municipalidad,Urbano,Arteria Menor,State Highway Agency,0,Sin jurisdiccion especial,0,34.66798056,-86.75209444,Vehiculo en movimiento,Angulo,T-Intersection,Interseccion de T,Sobre calle,Ninguna,Dia total,Nublado,No,NO APLICA,8,9,8,19,1,17/01/2022,2
1,Alabama,10030,0,0,1,0,49,DEKALB (49),1745,IDER,1,Enero,17,2022,6,20,SR-117,3,Highway estatal,Rural,Arteria Menor,State Highway Agency,0,Sin jurisdiccion especial,190,34.702825,-85.67199444,Zanja,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Amanecer,Soplando nieve,No,NO APLICA,6,28,6,36,1,17/01/2022,1
1,Alabama,10031,0,0,1,0,43,CULLMAN (43),0,NO APLICA,1,Enero,17,2022,17,0,CR-109,4,Calle del Condado,Rural,Colector Menor,County Highway Agency,0,Sin jurisdiccion especial,0,34.01850833,-86.96304444,Culvert,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Atardecer,Despejado,No,NO APLICA,16,55,17,14,1,17/01/2022,1
1,Alabama,10032,0,0,1,0,3,BALDWIN (3),1943,LOXLEY,1,Enero,23,2022,14,49,CR-64,4,Calle del Condado,Rural,Colector Mayor,County Highway Agency,0,Sin jurisdiccion especial,0,30.61838611,-87.72523889,Arbol,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Dia total,Despejado,No,NO APLICA,14,49,14,55,1,23/01/2022,1
1,Alabama,10033,0,0,1,0,15,CALHOUN (15),0,NO APLICA,1,Enero,22,2022,18,18,SR-9,3,Highway estatal,Rural,Arteria Menor,State Highway Agency,0,Sin jurisdiccion especial,2353,33.83731111,-85.67126944,Volcadura,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Oscuro sin iluminacion,Despejado,No,NO APLICA,18,23,18,33,1,22/01/2022,1
1,Alabama,10034,0,0,1,0,73,JEFFERSON (73),350,BIRMINGHAM,1,Enero,22,2022,6,36,WEST BLVD,6,Calle Local Municipalidad,Urbano,Colector Mayor,City or Municipal Highway Agency,0,Sin jurisdiccion especial,0,33.58305833,-86.71823889,Arbol,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Dia total,Despejado,No,NO APLICA,6,37,6,45,1,22/01/2022,1
1,Alabama,10035,0,0,1,0,103,MORGAN (103),0,NO APLICA,1,Enero,21,2022,7,30,CR-NEW CUT RD,4,Calle del Condado,Rural,Local,County Highway Agency,0,Sin jurisdiccion especial,0,34.41721944,-87.02085556,Volcadura,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Dia total,Nublado,No,NO APLICA,7,39,7,50,1,21/01/2022,1
1,Alabama,10036,0,0,1,0,97,MOBILE (97),2100,MOBILE,1,Enero,21,2022,19,26,HALLS MILL RD,6,Calle Local Municipalidad,Urbano,Arteria Menor,City or Municipal Highway Agency,0,Sin jurisdiccion especial,0,30.66251389,-88.09349722,Poste de Señal de trafico,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Oscuro con iluminacion,Despejado,No,NO APLICA,19,28,19,41,1,21/01/2022,1
1,Alabama,10037,0,0,1,0,15,CALHOUN (15),2325,OHATCHEE,1,Enero,18,2022,10,30,HEARTS FERRY RD,6,Calle Local Municipalidad,Rural,Local,City or Municipal Highway Agency,0,Sin jurisdiccion especial,0,33.78313889,-86.01071667,Poste,El primer evento no fue una colision con un vehiculo automotor en transporte,Four-Way Intersection,Interseccion de 4 direcciones,Sobre el lado de la calle,Ninguna,Dia total,Despejado,No,NO APLICA,10,30,10,37,1,18/01/2022,1
1,Alabama,10038,0,0,1,0,115,ST. CLAIR (115),0,NO APLICA,1,Enero,18,2022,7,11,I-20,1,Interestatal,Urbano,Interestatal,State Highway Agency,1,Sin jurisdiccion especial,1444,33.56593056,-86.52177222,Soporte de Puente,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Dia total,Despejado,No,NO APLICA,7,11,7,20,1,18/01/2022,1
1,Alabama,10039,0,0,3,0,103,MORGAN (103),1590,HARTSELLE,1,Enero,18,2022,7,39,SR-36,3,Highway estatal,Urbano,Arteria Principal,State Highway Agency,0,Sin jurisdiccion especial,200,34.44036389,-86.96513333,Vehiculo en movimiento,Angulo,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Dia total,Despejado,No,NO APLICA,7,44,8,11,1,18/01/2022,5
1,Alabama,10040,0,0,1,0,13,BUTLER (13),0,NO APLICA,1,Enero,18,2022,4,0,I-65,1,Interestatal,Rural,Interestatal,State Highway Agency,1,Sin jurisdiccion especial,1070,31.57203333,-86.85188889,Otro objeto (no fijo),El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Oscuro sin iluminacion,Despejado,No,NO APLICA,4,27,4,40,1,18/01/2022,1
1,Alabama,10041,1,1,1,0,73,JEFFERSON (73),1710,HOMEWOOD,1,Enero,19,2022,7,39,BARBERS CT,6,Calle Local Municipalidad,Urbano,Arteria Menor,City or Municipal Highway Agency,0,Sin jurisdiccion especial,0,33.45934722,-86.83968056,Peaton,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Dia total,Despejado,No,NO APLICA,7,41,7,46,1,19/01/2022,1
1,Alabama,10042,0,0,2,0,53,ESCAMBIA (53),0,NO APLICA,1,Enero,19,2022,17,15,US-31 SR-3,2,US Highway,Rural,Arteria Principal,State Highway Agency,1,Sin jurisdiccion especial,515,31.02589722,-87.32541667,Vehiculo en movimiento,Frente a frente,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Oscuro sin iluminacion,Despejado,No,NO APLICA,17,30,18,6,1,19/01/2022,5
1,Alabama,10043,0,0,1,0,47,DALLAS (47),0,NO APLICA,1,Enero,23,2022,15,36,CR-45,4,Calle del Condado,Rural,Colector Mayor,County Highway Agency,0,Sin jurisdiccion especial,0,32.44075833,-87.21537222,Vehiculo Ferrocarril,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Dia total,Despejado,No,727642A,15,36,15,50,1,23/01/2022,5
1,Alabama,10044,1,1,1,0,97,MOBILE (97),0,NO APLICA,1,Enero,24,2022,19,24,CR-THEODORE DAWES RD,4,Calle del Condado,Urbano,Arteria Principal,State Highway Agency,1,Sin jurisdiccion especial,0,30.55628056,-88.18583056,Peaton,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Oscuro sin iluminacion,lluvia,No,NO APLICA,19,25,19,43,1,24/01/2022,1
1,Alabama,10045,0,0,1,0,103,MORGAN (103),890,DECATUR,1,Enero,24,2022,20,18,NORRIS MILL RD,6,Calle Local Municipalidad,Urbano,Colector Mayor,City or Municipal Highway Agency,0,Sin jurisdiccion especial,0,34.50578611,-86.98438611,Arbol,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Oscuro sin iluminacion,Despejado,No,NO APLICA,20,18,20,39,1,24/01/2022,1
1,Alabama,10046,0,0,1,0,39,COVINGTON (39),0,NO APLICA,1,Enero,25,2022,15,20,CR-ROSE HILL RD,4,Calle del Condado,Rural,Colector Mayor,County Highway Agency,0,Sin jurisdiccion especial,0,31.47968611,-86.34786944,Volcadura,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Dia total,Nublado,No,NO APLICA,99,99,99,99,2,25/01/2022,2
1,Alabama,10047,0,0,3,0,31,COFFEE (31),1030,ENTERPRISE,1,Enero,26,2022,12,50,SR-192,3,Highway estatal,Urbano,Arteria Principal,State Highway Agency,1,Sin jurisdiccion especial,54,31.32804722,-85.88695,Vehiculo en movimiento,Golpe Lateral - direccion contraria,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Dia total,Despejado,No,NO APLICA,12,53,12,59,1,26/01/2022,3
1,Alabama,10048,0,0,2,0,79,LAWRENCE (79),0,NO APLICA,1,Enero,27,2022,6,6,SR-24,3,Highway estatal,Rural,Arteria Principal,State Highway Agency,1,Sin jurisdiccion especial,602,34.53784167,-87.15909722,Vehiculo en movimiento,Angulo,Four-Way Intersection,Interseccion de 4 direcciones,Sobre calle,Ninguna,Oscuro sin iluminacion,Despejado,No,NO APLICA,6,10,6,29,1,27/01/2022,2
1,Alabama,10049,0,0,2,0,15,CALHOUN (15),100,ANNISTON,1,Enero,27,2022,16,28,US-431 SR-1,2,US Highway,Urbano,Arteria Principal,State Highway Agency,0,Sin jurisdiccion especial,0,33.69978333,-85.80864722,Vehiculo en movimiento,Angulo,T-Intersection,Interseccion de T,Sobre calle,Ninguna,Dia total,Despejado,No,NO APLICA,16,35,16,42,1,27/01/2022,2
1,Alabama,10050,0,0,1,0,73,JEFFERSON (73),0,NO APLICA,1,Enero,30,2022,21,46,SR-ALLIANCE RD,3,Highway estatal,Rural,Colector Mayor,State Highway Agency,0,Sin jurisdiccion especial,0,33.55848611,-87.13152222,Arbol,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Fuera de la calle,Ninguna,Oscuro sin iluminacion,Despejado,No,NO APLICA,21,46,21,54,1,30/01/2022,2
1,Alabama,10051,0,0,1,0,81,LEE (81),200,AUBURN,1,Enero,30,2022,9,1,MOORES MILL RD,6,Calle Local Municipalidad,Urbano,Arteria Menor,City or Municipal Highway Agency,0,Sin jurisdiccion especial,0,32.5845,-85.43233889,Soporte de Puente,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Dia total,Despejado,No,NO APLICA,9,7,9,43,1,30/01/2022,1
1,Alabama,10052,0,0,2,0,73,JEFFERSON (73),350,BIRMINGHAM,1,Enero,30,2022,5,50,KILLOUGH DR,6,Calle Local Municipalidad,Urbano,Colector Mayor,City or Municipal Highway Agency,0,Sin jurisdiccion especial,0,33.61327778,-86.70787778,Vehiculo en movimiento,Frente a frente,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Dia total,Despejado,No,NO APLICA,99,99,6,0,1,30/01/2022,2
1,Alabama,10053,0,0,1,0,73,JEFFERSON (73),0,NO APLICA,1,Enero,30,2022,15,40,I-65,1,Interestatal,Urbano,Interestatal,State Highway Agency,1,Sin jurisdiccion especial,2650,33.569425,-86.82058056,Valla Ferrocarril,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Dia total,Despejado,No,NO APLICA,15,46,16,1,1,30/01/2022,1
1,Alabama,10054,0,0,1,0,115,ST. CLAIR (115),0,NO APLICA,1,Enero,30,2022,14,53,I-20,1,Interestatal,Urbano,Interestatal,State Highway Agency,1,Sin jurisdiccion especial,1460,33.57163611,-86.49462222,Arbol,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Dia total,Despejado,No,NO APLICA,14,51,15,7,1,30/01/2022,1
1,Alabama,10055,1,1,1,0,125,TUSCALOOSA (125),0,NO APLICA,1,Enero,31,2022,5,50,US-82 SR-6,2,US Highway,Rural,Arteria Principal,State Highway Agency,1,Sin jurisdiccion especial,664,33.04456944,-87.38367222,Peaton,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Oscuro sin iluminacion,Despejado,No,NO APLICA,6,0,6,25,1,31/01/2022,1
1,Alabama,10056,0,0,1,0,73,JEFFERSON (73),0,NO APLICA,2,Febrero,1,2022,19,8,I-59,1,Interestatal,Urbano,Interestatal,State Highway Agency,1,Sin jurisdiccion especial,1190,33.496875,-86.90813611,Zanja,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Oscuro sin iluminacion,Despejado,No,NO APLICA,19,22,19,32,1,01/02/2022,1
1,Alabama,10057,0,0,1,0,49,DEKALB (49),0,NO APLICA,2,Febrero,3,2022,15,30,CR-28,4,Calle del Condado,Rural,Local,County Highway Agency,0,Sin jurisdiccion especial,0,34.33220556,-86.02265,Volcadura,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Dia total,lluvia,No,NO APLICA,15,30,15,50,1,03/02/2022,1
1,Alabama,10058,0,0,1,0,89,MADISON (89),1730,HUNTSVILLE,2,Febrero,3,2022,14,21,HOBBS ISLAND RD SE,6,Calle Local Municipalidad,Urbano,Arteria Menor,City or Municipal Highway Agency,0,Sin jurisdiccion especial,0,34.58376111,-86.55563056,Puente de Ferrocarril,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Dia total,lluvia,No,NO APLICA,14,21,14,27,1,03/02/2022,1
